Id,NCJW RM TPH Total Mll Feed,NCJW RM TPH BASALT WF  D19A,NCJW RM TPH IRON WF  D19,NCJW RM TPH LGLS WF D7,NCJW RM TPH CLAY WF  D15,NCJW RM TPH LGLS WF  D3,NCJW RM TPH HGLS WF  D11,NCJW RM CONTR MILL FEED SPA,NCJW RM CURRENT RM CLASSIFIER D29_1,NCJW RM SPD RMILL CLASSIFIER,NCJW RM VIB BODY D29,NCJW RM VIB GB  D29,NCJW RM DRAFT INLET,NCJW RM TEMP INLET,NCJW RM ACT INLET POSITION D40,NCJW RM TEMP EXIT,NCJW RM DRAFT EXIT,NCJW RM SPD RM ID FAN  D62,NCJW RM CURRENT RM ID FAN MOT  D62,NCJW RM ACT POSITION D61,NCJW RM VIB ID FAN  D62,NCJW RM TEMP ID FAN INLET  D62,NCJW RM PRESS HSS OPERATING,NCJW RM CURRENT RMILL MAIN MOT  D29,NCJW BH PRESS D50 BHOUSEDIFF D50,NCJW BH SPD BH ID FAN D53,NCJW BH CURRENT BH ID FAN D53,NCJW BH TEMP BHOUSEINLET D50,NCJW BH POSI BH ID FAN DMP POSI FB D52,NCJW XRF RM ECS RES212,SalePrice
45,266.8,1.5,1.1,-0.4,7.2,18,239.3,480,188.3,60,8.1,0.5,61.4,213.6,96,86,758.1,799.5,1387.1,98.3,0.9,81.9,60.9,165.6,90.8,535.3,28.9,216.9,96.7,2.5,479.7
46,267.8,1.5,1.4,-0.4,7.2,17.8,240.2,480,191.3,60.8,8.7,0.5,55.3,202,96.1,85.1,756.3,798.8,1396.7,98.3,0.9,80.2,60.7,162.3,93.6,537.1,28.7,225.6,96.4,2.9,486.8
47,261.9,1.5,4.4,-0.4,6.9,28,221.6,486,196.8,62,8.5,0.5,53.8,194.8,96.2,80.8,766.7,795.4,1391.5,98.3,0.9,75.4,60.8,167,91.9,535.2,28.9,227.1,95.8,2.7,503.6
48,260.8,1.2,3.6,-0.4,6.1,66.4,183.8,492,201,62,7.5,0.5,51.5,193.6,96.2,82.4,775.6,793.8,1371.6,98.3,0.8,76.4,60.5,166.1,93.7,538.9,29.2,230.1,95.6,2.5,504
49,265,1.4,3.5,-0.4,6.2,12.7,241.6,497.9,199,62,8.2,0.5,52.5,196.9,96.2,80.4,768.4,794.2,1388.9,98.3,0.8,76.2,60.3,165.7,90.4,534.1,28.4,228.5,95.7,2.3,505.7
50,263.9,2,6.6,-0.4,6.2,12.5,237,499.1,194.4,61.3,7.8,0.5,51.2,197.5,96.2,80,766.5,793,1377.9,98.3,0.8,76.1,60.5,165.9,92.9,541.8,28.8,230.4,96,2.3,508.2
51,265.9,1.9,6.3,-0.4,6.2,12.6,239.2,500,193.9,61,7.5,0.5,50.6,198,96.2,80,768.5,790.9,1361.7,98.3,0.8,75.6,60.4,166.1,93,540.7,28.9,230.6,96.2,2.3,506.5
52,267.2,1.5,5.2,-0.4,6.3,12.7,241.9,504.2,195.4,61,7.2,0.4,51.4,196.2,96.1,79.5,779.9,790.4,1352.9,98.3,0.8,75,60.2,166.7,92.9,537.8,28.8,225.9,96.2,2.5,509.2
53,266.2,1.4,6.1,-0.4,6.2,12.6,240.2,505,194.1,61,7.3,0.4,50,206.7,96.1,82,777.4,794.8,1369.6,98.3,0.8,76.6,59.9,167.8,96,556.6,32,225,96.2,2.6,510.5
54,270.9,1.2,2.7,-0.4,5.8,13.1,248.5,505,195.3,61,7.7,0.4,42.6,212.3,96.2,85.5,770,798.3,1385,98.3,0.9,79.7,59.7,165,95.4,566.3,33.9,230.5,96.3,2.2,501.4
55,269.3,1.2,2.3,-0.4,5.8,13,247.3,505,202.7,62.5,7,0.4,43.9,213.2,96.2,83.5,790.2,799,1380,98.3,0.9,78.1,59.8,168.9,92,564.7,33.3,230.3,96.4,2.1,511.8
56,266.7,1.2,0,0.5,4.8,13,247.3,505,204.4,63,6.8,0.4,43.1,203.8,96.2,82.8,793.4,798.3,1386.7,98.3,0.9,77.3,59.5,167.5,93.1,564,32.9,229.1,96.4,2.3,509.8
57,266.4,1.2,0,7.2,5.7,12.4,239.9,505,201.8,62.5,6.8,0.4,41.8,199,96.2,83.3,789.6,797.7,1386.1,98.3,0.9,78.3,59.5,165.2,93.3,560.6,32.4,233.2,96.4,2.4,510.1
58,265,1.3,0,9.2,6,9.9,238.4,506.4,190.8,60,7.2,0.4,41.9,206.2,96.1,84.6,773.7,797.7,1380.1,98.3,0.9,80.5,59.6,165.4,94.1,560.2,32.6,239.3,96.4,2.6,505.8
59,253.7,1.7,0,9.1,6.8,103.5,132.6,507,190.4,60,7.7,0.5,44.1,207.9,96.1,85.4,752.4,798.3,1402.5,98.3,0.9,81.8,60,163,96.1,566.9,33,240.9,96.6,2.5,498.6
60,265.1,1.7,0,12.1,7.1,44.6,199.6,507,193.9,60,6.8,0.4,44.2,210.8,96.1,86.9,772.2,798,1378.8,98.3,0.9,83.5,60.3,164.6,95.1,562.4,32.3,240.5,96.6,2.9,497.8
61,262.8,1.6,0,14.5,7,10.2,229.5,507,192.8,60,6.1,0.4,56.8,210.7,96.1,83,793,799.2,1358.7,98.3,0.9,79.7,60.3,168.6,87.7,527.2,27,219.2,96.5,2.8,505.6
62,265.9,0.9,0,16.9,7.1,9.6,231.3,505.6,197,60.5,5.9,0.4,41.2,215.6,96.1,87.7,788.2,799.4,1340.9,98.3,0.9,82.2,60,169.5,91.8,529.8,27.9,222.3,96.5,3.5,497
63,268.6,0.9,0,16.9,7.2,9.7,233.8,500,204.1,62,5.6,0.4,41,207,96,83.7,805.7,799.6,1356.4,98.3,0.9,79.4,59.9,169.9,93.1,542.7,29.7,239.4,96.6,3.2,499
64,263.3,0.9,0,14.1,7.8,25.7,214.7,500,202.1,61.8,5.5,0.4,65.9,206.1,96,82.6,836.2,799.4,1337.1,98.3,0.9,78.2,59.8,171.9,97.2,588,35.9,241.5,96.6,2.6,501.1
65,261.9,0.9,0,12.9,7.8,29.3,210.8,500,198,61,5.6,0.4,74,200.6,96,83.3,843.3,799.4,1327.6,98.3,0.9,78.2,59.7,171.7,93.3,589.1,36,240.4,96.6,1.8,498.7
66,264.6,0.9,0,6.9,7.8,24.9,224,500,195.7,60.4,5.9,0.4,62.9,200.6,96,81.2,824.7,794.8,1305.4,98.3,0.8,76.8,59.5,172.2,91.4,569.1,32.5,234.6,96.6,1.8,494.1
67,269.1,0.9,0,3.3,8,25.7,231.2,500,191.6,60,6.6,0.4,49.7,203.4,96,82.2,784.2,799.5,1358.7,98.3,0.9,78.1,59.3,167.1,91.9,539.9,28.6,227.2,96.6,1.9,486.8
68,274.5,1,0,-0.3,8.1,26.6,239.2,500,191.5,60,7.1,0.4,46.1,197.4,96,81.6,770.2,800.9,1383.1,98.3,0.9,78.9,59.3,163.5,94.3,535,28.3,234,96.7,2,492
69,266.3,1.2,0,-0.4,7.8,25.8,231.8,500,189,60,7.1,0.5,52.2,214.5,96,82.3,774.2,800.4,1368.6,98.3,0.9,79.3,59.6,168.1,92.1,535.5,28.5,223.3,96.5,2,499.8
70,272.1,1.4,0,-0.4,7.4,22.3,241.4,500,189.5,60,7.5,0.5,47.2,193.2,96.1,81.4,769.4,799.8,1397.3,98.3,0.9,76.1,59.7,165.6,95.1,534.5,28.6,231.4,96.1,2,498.1
71,272.8,1.2,0.5,-0.4,7.2,14.8,249.4,500,190.1,60,7.2,0.5,50.6,202.3,96.2,81.9,772.1,799,1380.1,98.3,0.9,76.5,59.7,168.1,90.7,531.8,28.5,221.9,95.6,2,500.3
72,268.6,1.2,2.7,-0.4,7.1,81.3,176.6,518.2,193.7,60,6.1,0.4,47.1,210.6,96.2,82.8,794.1,798.4,1345,98.3,0.9,78.1,59.9,171.6,92.3,531.8,28.4,222.2,95.7,2.4,515.2
73,283.3,1.3,3.2,-0.4,7.6,58.9,212.7,525,195.3,60,6,0.4,43.5,200.9,96.2,82,789.6,799.4,1357,98.3,0.9,77.5,59.7,171.3,93.1,531.4,28.4,224.6,95.8,2.5,514.5
74,249.3,1.6,5,-0.4,7.1,160.2,75.7,525,194.3,60,5.7,0.4,45,211.6,96.2,81.1,799.3,798.9,1330.4,98.3,0.9,77.3,59.6,174.1,95,535.5,28.8,219.9,96,2.4,528.8
75,270.9,1.8,5.4,-0.4,7.8,101.9,154.3,525.9,196.5,60,5.6,0.4,46.1,223.3,96.2,84.1,792.5,799,1323.9,98.3,0.9,80.8,59.4,172.1,93.6,532.5,28.2,217.6,96.1,2.4,525.2
76,278.3,1.7,5.9,-0.4,8.5,41.1,221.5,519.5,196.5,60,5.8,0.4,49.7,224.1,96.2,82,793.9,799.4,1346.8,98.3,0.9,79.2,59.2,170.3,94.6,533.5,28.4,217.6,96.1,2.1,518.2
77,277.7,1.3,6.8,-0.4,8.4,45.1,216.4,520,195.8,60,6,0.4,41,226.5,96.2,82.7,778.2,799,1350.1,98.3,0.9,79.8,59.2,169,91.4,515.7,26.2,212.7,96,1.9,517.7
78,279.2,1.3,5.8,-0.4,8.1,26.2,238.3,520,196.1,60,6,0.4,47.1,227.1,96.2,82.3,789,799.3,1346,98.3,0.9,79.3,59.2,171.1,93.5,529.2,28.3,212.9,96.1,2,519.7
79,274.6,1.8,6.9,-0.4,8.7,38.7,219,520,196.2,60,5.9,0.4,43.1,226.4,96.2,83.7,783.8,800.4,1351.7,98.3,0.9,79.4,59,170.4,95,521.7,27.4,211.2,96.1,2.1,519.3
80,274.2,1.8,5.3,-0.4,8.7,38.8,219.9,520,195.4,60,5.9,0.4,40.7,227.6,96.2,84.7,775.8,799.4,1340.6,98.3,0.9,79.9,58.9,170.9,91.7,511.6,26.1,211.1,96.1,2.1,520.1
81,275.5,1.6,2.7,-0.4,8.6,39.4,223.6,520,195.4,60,5.7,0.4,51.7,230.1,96.2,83.6,785,799,1341.7,98.3,0.9,79.6,59.3,171.1,91.9,545,30.7,214.4,96.2,2.1,516.7
